ifc_id,code,facet,uniclass_title,uniclass_description,score
IfcActionRequest,Ss_90_13,SS,Demand for information and communication,,0.8574
IfcActionRequest,PM_10_20_82,PM,Statement of requirements,,0.8492
IfcActionRequest,PM_60_30_71,PM,Request for information (RFI),,0.8408
IfcActionRequest,FI_10_70,FI,Request (RI),,0.8395
IfcActionRequest,Ss_90_07,SS,Demand for cleaning,,0.8386
IfcActor,PM_10_10_60,PM,Project description,,0.8365
IfcActor,PM_80_45_61,PM,Principal accountable person organization details,,0.8207
IfcActor,Co_90_50_16,CO,Complexes for the storage of human remains,,0.8185
IfcActor,Ro_50_20_53,RO,"Mechanical, electrical, instrumentation, control and automation (MEICA) engineer",,0.8173
IfcActor,En_60,EN,"Heating, cooling and refrigeration entities",,0.8148
IfcActorRole,FI_90_13,FI,Certificate (CE),,0.5917
IfcActorRole,PC_35_65_36_16,PC,Chlorofluorocarbon (CFC) emissions,,0.5458
IfcActorRole,PM_70_30_15,PM,Closed-circuit television (CCTV) commissioning certificate,,0.535
IfcActorRole,Pr_75_51_26_01,PR,Alternating current (a.c.) capacitor motors,,0.5342
IfcActorRole,Pr_75_51_26_00,PR,Alternating current (a.c.) capacitor start capacitor run motors,,0.5236
IfcActuator,EF_85_50,EF,Mechanical power,,0.8676
IfcActuator,Pr_75_51,PR,"Motors, motor controls, control circuit devices and timeswitches",,0.8642
IfcActuator,Pr_75_50_02,PR,Actuators,,0.864
IfcActuator,Pr_85_50,PR,Mechanical power products,,0.8562
IfcActuator,PC_35_51,PC,Mechanical characteristics,,0.8487
IfcActuatorType,PC_10_65_91,PC,Type,,0.8087
IfcActuatorType,FI_90_13,FI,Certificate (CE),,0.5415
IfcActuatorType,PC_60_54_42,PC,Inflatable,,0.5294
IfcActuatorType,PM_70_75_40,PM,Information and communications technology (ICT) infrastructure test report,,0.5121
IfcActuatorType,PM_70_30_08,PM,Booster pump set test certificate,,0.5102
IfcAddress,Pr_60_70_06_48,PR,Lead-calcium battery chargers,,0.4851
IfcAddress,Pr_75_51_52_01,PR,Alternating current (a.c.) drives,,0.4815
IfcAddress,Pr_25_93_51_42,PR,Glass fibre-reinforced concrete (GRC) dressing quoins,,0.4815
IfcAddress,Pr_25_93_51_41,PR,Glass fibre-reinforced concrete (GRC) dressing plinths and string courses,,0.476
IfcAddress,Pr_40_30_20_70,PR,Recessed curtain pelmets,,0.469
IfcAdvancedBrep,PM_70_95_20,PM,Design compliance review report,,0.5054
